start,stop,status.time,ID,Country.Name,Threshold,doublingStart,doublingEnd,doublingTime,status,regime_bmr_owid,region,Education,EnergyUse,RuralPopulation,yearsSince1960,SecondaryEnrollment
0,1,0,1,Albania,Low-Mid Income,2001,2018,17,1,1,Europe,75.73404694,597.2652527,57.565,41,72.53716278
1,2,0,1,Albania,Low-Mid Income,2001,2018,17,1,1,Europe,75.73404694,597.2652527,57.565,41,72.53716278
2,3,0,1,Albania,Low-Mid Income,2001,2018,17,1,1,Europe,75.73404694,597.2652527,57.565,41,72.53716278
3,4,0,1,Albania,Low-Mid Income,2001,2018,17,1,1,Europe,75.73404694,597.2652527,57.565,41,72.53716278
4,5,0,1,Albania,Low-Mid Income,2001,2018,17,1,1,Europe,75.73404694,597.2652527,57.565,41,72.53716278
5,6,0,1,Albania,Low-Mid Income,2001,2018,17,1,1,Europe,75.73404694,597.2652527,57.565,41,72.53716278
6,7,0,1,Albania,Low-Mid Income,2001,2018,17,1,1,Europe,75.73404694,597.2652527,57.565,41,72.53716278
7,8,0,1,Albania,Low-Mid Income,2001,2018,17,1,1,Europe,75.73404694,597.2652527,57.565,41,72.53716278
8,9,0,1,Albania,Low-Mid Income,2001,2018,17,1,1,Europe,75.73404694,597.2652527,57.565,41,72.53716278
9,10,0,1,Albania,Low-Mid Income,2001,2018,17,1,1,Europe,75.73404694,597.2652527,57.565,41,72.53716278
10,11,0,1,Albania,Low-Mid Income,2001,2018,17,1,1,Europe,75.73404694,597.2652527,57.565,41,72.53716278
11,12,0,1,Albania,Low-Mid Income,2001,2018,17,1,1,Europe,75.73404694,597.2652527,57.565,41,72.53716278
12,13,0,1,Albania,Low-Mid Income,2001,2018,17,1,1,Europe,75.73404694,597.2652527,57.565,41,72.53716278
13,14,0,1,Albania,Low-Mid Income,2001,2018,17,1,1,Europe,75.73404694,597.2652527,57.565,41,72.53716278
14,15,0,1,Albania,Low-Mid Income,2001,2018,17,1,1,Europe,75.73404694,597.2652527,57.565,41,72.53716278
15,16,0,1,Albania,Low-Mid Income,2001,2018,17,1,1,Europe,75.73404694,597.2652527,57.565,41,72.53716278
16,17,1,1,Albania,Low-Mid Income,2001,2018,17,1,1,Europe,75.73404694,597.2652527,57.565,41,72.53716278
0,1,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
1,2,0,2,Algeria,Low Income,1961,2005,44,1,1,NA,NA,NA,68.203,1,NA
