Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,319.8471073,332.2200097,322.6680095,345.9258138,353.720597,392.7104656,398.9711165,472.8422916,526.1036756,511.9985148,557.9496921,568.9645435,565.1792733,556.0072209,552.9969077,553.3550517,546.7430101,555.1389963,529.7412103,..
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1740.505382,1804.010307,1818.367344,1799.878145,1740.347226,1735.289858,1798.014609,1748.578262,1691.530506,1808.645604,1606.296047,1163.491294,1086.438487,1197.580594,1305.000719,1488.020491,1633.551572,1464.297579,1603.64723,1821.872654,1960.881946,2143.526278,2247.497491,2380.643997,2522.448714,2675.507936,2851.367012,3044.895819,3298.478044,3432.169973,3577.113388,3678.046738,3736.339101,3780.698202,3855.759734,3952.802538,4090.371657,4249.803734,4431.539181,4543.38652,4410.455165,4831.868658
Algeria,DZA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2170.312716,1828.972772,1433.100633,1877.512957,1936.928035,2003.192862,1854.953825,1973.347406,2124.218634,2238.142719,2368.574659,2042.663364,2532.392779,2558.030159,2674.970436,2732.324364,2878.610001,2944.321112,3123.376576,3258.731215,3186.437164,3182.259853,3281.860856,3352.699714,3432.806399,3453.821597,3366.938887,3248.881174,3128.337533,3179.773321,3123.997664,3011.499933,2994.49132,2867.195894,2783.15504,2834.265193,2899.193202,2884.120228,2986.055666,3038.272915,3111.176169,3162.811507,3297.612811,3490.223247,3592.645301,3752.096161,3760.155368,3828.148476,3856.40766,3851.213777,3918.48642,3956.895815,4012.361506,4042.923638,4112.076024,4177.889542,4224.037263,4192.337692,4154.219038,4115.39554,3834.438983,3913.652914
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12609.36852,12641.66788,12653.28184,12628.50766,12202.73737,12586.71604,12439.14972,12092.27651,12256.34286,12328.66528,11812.45911,11507.22565,11694.54539,12059.63516,11871.35955,11066.06017,11393.60566,11368.56958,11839.0105,..
Andorra,AND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,35391.21404,35159.6061,36166.55696,37123.40964,37504.89053,36246.82711,36175.4646,36081.80084,35551.87669,34462.62952,34014.62335,32669.59138,31709.42194,30897.07409,30084.6863,29480.46344,29178.65864,29564.93836,29854.9187,30091.36872,30051.29699,29642.82909,28792.31239,27517.65799,27408.38886,27641.99611,28701.2086,31325.64169,32416.14287,33625.37721,34267.71822,35975.02241,36158.72992,37620.35483,39043.1137,39783.08663,40602.69871,40392.03175,37610.7102,35362.83688,34667.30888,34956.73495,33750.19085,33220.69378,34722.02975,35770.91865,37432.91121,37707.83324,38301.45043,39003.53922,34588.05372,37640.12632
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2653.472895,2448.882762,2363.407368,2376.371042,2430.754479,2428.138625,2411.851214,2423.6323,2484.141422,2401.271609,2241.407738,2189.611764,1995.241434,1468.262829,1440.690358,1604.346136,1764.023283,1832.429603,1857.437576,1837.278835,1832.35573,1847.420229,2031.123261,2022.355127,2167.647168,2406.778317,2589.321698,2845.40643,3048.015556,2962.446816,2994.437982,2987.767907,3128.324715,3168.605268,3207.178074,3127.890598,2945.968116,2845.43167,2717.474121,2612.347027,2390.478145,2331.495402
Antigua and Barbuda,ATG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5570.432046,5826.241175,6306.135085,6830.398573,7099.23535,7094.304457,7474.965095,8234.12855,8863.384883,9887.087894,10549.24671,11091.12029,11626.77877,11876.1994,11975.74031,11908.49317,12286.03334,12828.61044,12006.51861,12525.16794,12928.44177,13260.49429,13484.18646,14069.51484,13220.04483,13170.62601,13792.50092,14399.82072,15122.18561,16785.74705,18062.46566,17771.19316,15401.96864,13986.84089,13525.44491,13802.70749,13554.4014,13908.99163,14285.32978,14919.20605,15242.37307,16146.59275,16786.44743,13285.64474,13872.58216
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,7362.534064,7637.066652,7451.803394,6945.957125,7532.004475,8202.112548,8026.876237,8161.602114,8429.868888,9108.496877,9243.256579,9613.676881,9614.237931,9725.467045,10100.06848,9939.696623,9591.172001,10103.62737,9505.85621,10321.2391,10318.18299,9630.115178,9407.874641,9660.19213,9655.183649,9009.001729,9412.994813,9517.10861,9269.355791,8477.672903,8149.240619,8769.7504,9338.699517,9974.004419,10423.37888,10003.09169,10430.68249,11146.72103,11445.56494,10935.64459,10730.60822,10146.10682,8943.308002,9629.844086,10389.15127,11192.17958,11970.65539,12919.23536,13310.62368,12398.28358,13551.33919,14200.26989,13895.63371,14071.50868,13567.94842,13789.06042,13360.21183,13595.03736,13105.39716,12712.97074,11344.40574,12390.80869
Armenia,ARM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1650.510598,1471.086173,871.6971672,813.8298113,878.530223,958.5062383,1030.463922,1076.625039,1164.282219,1210.362395,1289.884252,1422.476654,1619.112189,1855.596827,2062.203233,2364.175935,2697.018983,3093.36934,3335.244164,2884.33947,2958.838999,3098.742304,3312.980008,3406.536118,3511.225059,3607.289299,3601.469664,3860.218058,4051.384967,4350.466198,4021.046264,4243.23788
Aruba,ABW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15685.46774,18445.05622,22159.30176,24863.06705,25382.61935,26355.96129,26427.16291,26693.92041,27298.55549,26732.62356,26111.13126,27218.76096,27178.89081,26980.89067,28442.51612,28989.58524,28077.19315,27799.57735,29301.76355,28814.29163,28910.66068,29689.34156,30193.10981,26641.81656,25859.51092,26629.29953,26221.25955,27744.9321,27575.93029,28399.05013,28854.7133,30293.35154,30536.66719,29769.29391,23026.33287,..
